choice_id,feature_id
8,11
8,12
8,24
8,1
38,11
38,12
38,24
38,1
62,11
62,12
62,24
62,1
66,1
66,10
66,23
66,12
7,23
7,24
7,1
7,10
7,11
7,12
12,3
12,15
12,19
12,18
12,20
12,21
12,1
12,10
12,11
12,9
37,11
37,12
37,24
37,13
37,16
37,1
65,11
65,12
65,24
65,13
65,16
65,1
9,11
9,12
9,24
9,13
9,16
9,1
33,1
33,23
33,9
33,10
33,8
33,24
41,15
41,18
41,19
41,20
41,3
41,1
41,23
41,9
41,10
41,21
69,15
69,18
69,19
69,20
69,3
69,1
69,23
69,9
69,10
69,21
6,1
6,8
6,9
6,10
6,11
6,12
6,14
6,21
6,23
6,17
20,1
20,2
20,5
20,6
20,7
20,10
20,12
20,25
20,21
20,24
51,1
51,10
51,11
51,12
51,13
51,20
51,22
51,23
51,24
52,1
52,2
52,4
52,5
52,6
52,7
52,25
52,23
52,10
52,12
63,1
63,8
63,9
63,10
63,13
63,14
63,16
63,17
63,23
63,24
70,3
70,15
70,19
70,18
70,20
70,21
70,1
70,10
70,11
70,9
14,3
14,15
14,19
14,18
14,20
14,21
14,1
14,10
14,14
14,9
22,1
22,8
22,9
22,10
22,13
22,14
22,16
22,17
22,23
22,24
27,3
27,15
27,19
27,18
27,20
27,21
27,1
27,10
27,11
27,9
28,3
28,15
28,19
28,18
28,20
28,21
28,1
28,10
28,14
28,9
30,3
30,15
30,19
30,18
30,20
30,21
30,1
30,10
30,14
30,9
40,3
40,15
40,19
40,18
40,20
40,21
40,1
40,10
40,25
40,9
31,1
31,6
31,8
31,9
31,10
31,11
31,12
31,13
31,14
31,16
31,17
47,1
47,6
47,8
47,9
47,10
47,11
47,12
47,13
47,14
47,23
48,1
48,2
48,4
48,5
48,7
48,10
48,11
48,13
48,16
48,25
49,1
49,9
49,10
49,12
49,13
49,14
49,16
49,23
49,24
49,8
55,3
55,15
55,19
55,18
55,20
55,21
55,1
55,10
55,25
55,9
59,1
59,2
59,4
59,5
59,8
59,9
59,10
59,12
59,18
59,24
64,1
64,4
64,8
64,9
64,10
64,13
64,14
64,16
64,17
64,25
67,1
67,10
67,12
67,16
67,23
67,24
4,1
4,2
4,4
4,5
4,6
4,10
4,12
4,18
4,21
4,22
10,1
10,10
10,12
10,16
10,23
10,24
13,3
13,15
13,19
13,18
13,20
13,21
13,1
13,10
13,14
13,9
15,3
15,15
15,19
15,18
15,20
15,21
15,1
15,13
15,14
15,9
23,1
23,4
23,8
23,9
23,10
23,11
23,12
23,13
23,14
23,16
23,17
23,18
23,21
23,23
23,24
35,1
35,2
35,4
35,5
35,6
35,10
35,12
35,18
35,21
35,22
36,1
36,10
36,11
36,12
36,16
36,18
36,23
36,24
36,25
36,4
39,1
39,10
39,11
39,12
39,16
39,18
39,23
39,24
39,25
39,4
42,3
42,15
42,19
42,18
42,20
42,21
42,1
42,13
42,14
42,9
68,3
68,15
68,19
68,18
68,20
68,21
68,1
68,10
68,14
68,9
71,3
71,15
71,19
71,18
71,20
71,21
71,1
71,8
71,14
71,9
11,1
11,2
11,4
11,5
11,6
11,7
11,10
11,11
11,12
11,16
11,17
11,18
11,22
11,23
11,25
16,3
16,15
16,19
16,18
16,20
16,21
16,1
16,8
16,14
16,9
24,1
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,23
24,25
26,3
26,15
26,19
26,18
26,20
26,21
26,1
26,10
26,14
26,9
32,1
32,2
32,4
32,5
32,7
32,8
32,9
32,10
32,12
32,13
32,16
32,18
32,21
32,23
32,24
34,1
34,2
34,4
34,5
34,7
34,8
34,9
34,10
34,12
34,13
34,16
34,18
34,21
34,17
34,24
45,1
45,2
45,4
45,5
45,7
45,8
45,9
45,10
45,12
45,13
45,16
45,18
45,21
45,22
45,25
56,3
56,15
56,19
56,18
56,20
56,21
56,1
56,10
56,14
56,9
56,8
57,15
57,19
57,18
57,20
57,21
57,1
57,10
57,14
57,9
57,6
57,3
72,3
72,15
72,19
72,18
72,20
72,21
72,1
72,13
72,14
72,8
29,3
29,15
29,19
29,18
29,20
29,21
29,1
29,13
29,14
29,8
5,1
5,6
5,8
5,9
5,10
5,11
5,12
5,13
5,14
5,16
5,17
5,21
5,23
5,24
5,25
46,1
46,6
46,8
46,9
46,10
46,11
46,12
46,13
46,14
46,16
46,17
46,21
46,23
46,24
46,25
50,1
50,6
50,8
50,9
50,10
50,11
50,12
50,13
50,14
50,18
50,17
50,21
50,23
50,24
50,25
60,1
60,2
60,4
60,5
60,8
60,9
60,10
60,11
60,12
60,14
60,17
60,18
60,21
60,23
60,24
61,1
61,6
61,8
61,9
61,10
61,11
61,12
61,13
61,14
61,16
61,17
61,18
61,21
61,23
61,24
2,1
2,4
2,6
2,7
2,8
2,9
2,10
2,11
2,12
2,13
2,14
2,16
2,17
2,18
2,21
2,22
2,23
2,24
2,25
17,1
17,2
17,4
17,5
17,6
17,7
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,16
17,17
17,18
17,21
17,22
17,23
17,24
18,1
18,4
18,6
18,7
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,16
18,17
18,18
18,21
18,22
18,23
18,24
18,25
19,1
19,4
19,5
19,6
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,16
19,17
19,18
19,21
19,23
19,24
19,25
19,20
53,3
53,15
53,19
53,18
53,20
53,21
53,1
53,13
53,14
53,8
54,3
54,15
54,19
54,18
54,20
54,21
54,1
54,13
54,14
54,9
58,1
58,4
58,6
58,7
58,8
58,9
58,10
58,11
58,12
58,13
58,14
58,16
58,17
58,18
58,21
58,22
58,23
58,24
58,25
3,1
3,2
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
3,14
3,16
3,17
3,18
3,21
3,22
3,23
3,24
44,1
44,2
44,4
44,5
44,6
44,7
44,8
44,9
44,10
44,11
44,12
44,13
44,14
44,16
44,17
44,18
44,21
44,25
44,23
44,24
21,1
21,2
21,4
21,6
21,8
21,9
21,10
21,11
21,12
21,13
21,14
21,16
21,17
21,18
21,20
21,21
21,23
21,24
21,25
21,7
21,22
25,1
25,2
25,4
25,6
25,8
25,9
25,10
25,11
25,12
25,13
25,14
25,16
25,17
25,18
25,20
25,21
25,23
25,24
25,25
25,7
25,22
43,1
43,2
43,4
43,5
43,6
43,7
43,8
43,9
43,10
43,11
43,12
43,13
43,14
43,16
43,17
43,18
43,20
43,21
43,22
43,23
43,24
43,25